publication,1,2,3,4,5
Decision Support Systems,0.21148593625,0.2821092845,0.22006051475,0.15660352725,0.129740737
Design Studies,0.1839963402,0.1742767712,0.2031863194,0.2438028144,0.1947377546
Ecological Economics,0.17492331375,0.1882625535,0.23027013975,0.104656364,0.30188762925
Ecological Engineering,0.121848739,0.109243697,0.12605042,0.151260504,0.491596639
Ecological Indicators,0.12236625775,0.23343310225,0.12708989025,0.110523701,0.4065870485
Energy Conversion and Management,0.160839161,0.447552448,0.104895105,0.083916084,0.202797203
Energy Policy,0.1461577935,0.187281917,0.2494422605,0.14258715425,0.274530875
Energy Procedia,0.2340425535,0.234042553,0.1170212765,0.164893617,0.25
Energy for Sustainable Development,0.157480315,0.181102362,0.181102362,0.267716535,0.212598425
Engineering Applications of Artificial Intelligence,0.255753061,0.258268150333,0.161956807667,0.206063260333,0.117958720667
Environmental Impact Assessment Review,0.154696133,0.132596685,0.209944751,0.110497238,0.392265193
Environmental Innovation and Societal Transitions,0.179487179,0.162393162,0.170940171,0.11965812,0.367521368
European Journal of Integrative Medicine,0.170854271,0.201005025,0.221105528,0.190954774,0.216080402
European Journal of Operational Research,0.193333333,0.377142857,0.163809524,0.1328571425,0.1328571425
European Management Journal,0.157557790667,0.156724819333,0.379016369667,0.146390803,0.160310217
Expert Systems with Applications,0.214969147933,0.3207976362,0.159513968133,0.183689499267,0.121029748467
Filtration Industry Analyst,0.236876396,0.1905249445,0.182148176,0.149478779,0.2409717055
Forest Policy and Economics,0.152173913,0.173913043,0.315217391,0.173913043,0.184782609
Fuel Cells Bulletin,0.2192812045,0.1905455725,0.1649668125,0.1662619395,0.2589444715
Future Generation Computer Systems,0.241935484,0.274193548,0.185483871,0.153225806,0.14516129
Futures,0.184446947,0.106243744,0.257939189333,0.186062625,0.265307495
Global Environmental Change,0.125,0.1875,0.131944444,0.138888889,0.416666667
Global Finance Journal,0.113207547,0.188679245,0.330188679,0.188679245,0.179245283
Global and Planetary Change,0.1,0.328571429,0.292857143,0.078571429,0.2
Government Information Quarterly,0.084848485,0.175757576,0.472727273,0.139393939,0.127272727
Habitat International,0.151515152,0.151515152,0.222222222,0.141414141,0.333333333
Health Policy,0.104395604,0.521978022,0.164835165,0.104395604,0.104395604
IFAC Proceedings Volumes,0.237468177714,0.216335891429,0.196820404857,0.198489131429,0.150886394571
IFAC-PapersOnLine,0.220640177,0.194863831,0.1738002388,0.251695082,0.1590006716
ISPRS Journal of Photogrammetry and Remote Sensing,0.084415584,0.571428571,0.097402597,0.116883117,0.12987013
Industrial Marketing Management,0.212687741053,0.144039552789,0.328478891158,0.185931980211,0.128861834947
Information & Management,0.170212766,0.191489362,0.319148936,0.170212766,0.14893617
Information Sciences,0.22556391,0.390977444,0.105263158,0.165413534,0.112781955
Information Security Technical Report,0.234042553,0.255319149,0.14893617,0.14893617,0.212765957
Information and Software Technology,0.119047619,0.528571429,0.157142857,0.085714286,0.10952381
Injury,0.377431907,0.194552529,0.225680934,0.101167315,0.101167315
Interacting with Computers,0.333333333,0.114942529,0.201149425,0.149425287,0.201149425
International Business Review,0.118421053,0.144736842,0.447368421,0.197368421,0.092105263
International Journal of Approximate Reasoning,0.165354331,0.488188976,0.118110236,0.118110236,0.11023622
International Journal of Hospitality Management,0.276119403,0.343283582,0.141791045,0.126865672,0.111940299
International Journal of Hydrogen Energy,0.127071823,0.370165746,0.154696133,0.132596685,0.215469613
International Journal of Information Management,0.130937802,0.1990331935,0.3153722205,0.178214631,0.1764421525
International Journal of Production Economics,0.198042741,0.264214178,0.223075813286,0.125843406714,0.188823860714
International Review of Financial Analysis,0.094936709,0.139240506,0.518987342,0.113924051,0.132911392
Journal of Accounting and Public Policy,0.085106383,0.120567376,0.595744681,0.085106383,0.113475177
Journal of Atmospheric and Solar-Terrestrial Physics,0.06097561,0.646341463,0.12601626,0.06504065,0.101626016
Journal of Business Research,0.145123093476,0.20851998981,0.370484821238,0.136767619952,0.139104475429
Journal of Cleaner Production,0.165437614413,0.161489837594,0.211334652123,0.197412424638,0.264325471225
Journal of Computational Design and Engineering,0.159969697,0.188787879,0.129030303,0.3936060605,0.1286060605
Journal of Engineering and Technology Management,0.197667687,0.1598296255,0.2289306095,0.294806054,0.1187660245
Journal of Environmental Management,0.113003850333,0.133622209,0.118502908667,0.146169794,0.488701237333
Journal of Evidence Based Dental Practice,0.211009174,0.311926606,0.183486239,0.146788991,0.146788991
Journal of Informetrics,0.127118644,0.161016949,0.423728814,0.127118644,0.161016949
Journal of Product Innovation Management,0.319148936,0.24822695,0.120567376,0.170212766,0.141843972
Journal of Purchasing and Supply Management,0.215053763,0.150537634,0.247311828,0.225806452,0.161290323
Journal of Retailing and Consumer Services,0.194630872,0.348993289,0.201342282,0.10738255,0.147651007
Journal of Systems and Software,0.169065539667,0.2249809935,0.182340092167,0.2569056805,0.166707694
Journal of Visual Languages & Computing,0.171974522,0.420382166,0.140127389,0.133757962,0.133757962
Journal of World Business,0.170068027,0.142857143,0.353741497,0.136054422,0.197278912
Journal of the American College of Radiology,0.188481675,0.151832461,0.345549738,0.183246073,0.130890052
Journal of the American Pharmaceutical Association,0.155102041,0.175510204,0.526530612,0.081632653,0.06122449
Knowledge-Based Systems,0.372093023,0.209302326,0.100775194,0.100775194,0.217054264
Land Use Policy,0.268656716,0.179104478,0.179104478,0.194029851,0.179104478
Library Collections| Acquisitions| and Technical Services,0.2,0.344444444,0.155555556,0.133333333,0.166666667
Long Range Planning,0.091428571,0.222857143,0.371428571,0.194285714,0.12
Manufacturing Letters,0.306818182,0.170454545,0.147727273,0.193181818,0.181818182
Mechanical Systems and Signal Processing,0.159874608,0.328892372,0.144984326,0.153256705,0.212991989
Mechatronics,0.352112676,0.154929577,0.154929577,0.253521127,0.084507042
Membrane Technology,0.209209848471,0.180725274588,0.175613790471,0.152708408882,0.281742677588
Network Security,0.221164021,0.268606702,0.2007054675,0.151675485,0.1578483245
Neurocomputing,0.135416667,0.375,0.145833333,0.229166667,0.114583333
Omega,0.1557277985,0.2816342615,0.183815029,0.130110352,0.248712559
Photovoltaics Bulletin,0.194805195,0.246753247,0.194805195,0.168831169,0.194805195
Procedia - Social and Behavioral Sciences,0.188118812,0.257425743,0.099009901,0.247524752,0.207920792
Procedia CIRP,0.228226487844,0.178000705051,0.186214188184,0.241040492459,0.166518126459
Procedia Computer Science,0.218772244333,0.257179406667,0.207506425333,0.155387858333,0.161154065667
Procedia Engineering,0.189894576,0.206253018,0.143929663667,0.224483341333,0.235439401333
Procedia Manufacturing,0.271995876,0.1868761725,0.14639524725,0.22953133375,0.16520137025
Procedia Technology,0.234136234333,0.159134076,0.235085902,0.220840887667,0.150802900667
Pump Industry Analyst,0.240918226143,0.190751870714,0.188844365571,0.162225563286,0.217259974
RAI Revista de Administração e Inovação,0.131443979,0.1561062105,0.3502974705,0.1421998185,0.219952522
REGE - Revista de Gestão,0.124223602,0.192546584,0.223602484,0.161490683,0.298136646
Renewable Energy,0.097826087,0.527173913,0.119565217,0.125,0.130434783
Renewable and Sustainable Energy Reviews,0.139066511,0.160627502667,0.15824684,0.191856024333,0.350203121333
Research Policy,0.1117508325,0.147475028,0.3473224195,0.140607658,0.252844062
Resource and Energy Economics,0.108527132,0.209302326,0.15503876,0.217054264,0.310077519
Revue Française d'Allergologie,0.115384615,0.125,0.105769231,0.153846154,0.5
Robotics and Computer-Integrated Manufacturing,0.2587621175,0.250093214,0.180306985,0.1436117325,0.167225951
Science of The Total Environment,0.131389308,0.186941511667,0.147229764,0.183542818667,0.350896598
Sealing Technology,0.177212004,0.266323872333,0.175839846333,0.162053632667,0.218570645333
Seminars in Pediatric Neurology,0.239726027,0.273972603,0.205479452,0.136986301,0.143835616
Signal Processing,0.075949367,0.506329114,0.151898734,0.126582278,0.139240506
Simulation Modelling Practice and Theory,0.4185646755,0.2533089815,0.099591749,0.1544477865,0.074086807
Sustainable Production and Consumption,0.201183432,0.147928994,0.284023669,0.124260355,0.24260355
Systems & Control Letters,0.127272727,0.372727273,0.163636364,0.127272727,0.209090909
Technological Forecasting and Social Change,0.1660087118,0.166022006,0.3015548988,0.1276624046,0.238751979
Technology in Society,0.199120428667,0.139989569667,0.240204021,0.245644278,0.175041702667
Technovation,0.23091706575,0.184557302,0.23823081225,0.2022107045,0.14408411525
Telecommunications Policy,0.115384615,0.192307692,0.211538462,0.259615385,0.221153846
Telematics and Informatics,0.164656616,0.1327261305,0.2637981575,0.099392797,0.3394262985
The Journal of Academic Librarianship,0.166666667,0.385416667,0.21875,0.125,0.104166667
Tourism Management,0.126984127,0.126984127,0.357142857,0.158730159,0.23015873
Toxicology,0.13986014,0.335664336,0.167832168,0.160839161,0.195804196
Waste Management,0.115044248,0.185840708,0.115044248,0.14159292,0.442477876
ransportation Research Part E: Logistics and Transportation Review,0.247619048,0.2,0.171428571,0.161904762,0.219047619
